정류소ID,모바일ID,정류소명,영문명,시_도,구_군,동,X좌표,Y좌표,경유노선수,경유노선
7051006300,629,두류수영장건너,Duryu Swimming Pool,대구광역시,남구,대명4동,12833.8744,3550.7266,8,"609, 618, 650, 706, 805, 836, 급행6, 남구1"
7051006400,5007,두류수영장앞,Duryu Swimming Pool,대구광역시,달서구,성당1동,12833.8892,3550.7456,8,"609, 618, 650, 706, 805, 836, 급행6, 남구1-1"
7051006500,628,문성병원앞,Munseong hospital,대구광역시,남구,대명4동,12834.1248,3550.885,8,"609, 618, 650, 706, 805, 836, 남구1, 서구1-1"
7051006600,5217,문성병원건너,Munseong hospital,대구광역시,달서구,성당1동,12834.1252,3550.8949,8,"609, 618, 650, 706, 805, 836, 남구1-1, 서구1"
7051006700,2184,성당시장앞2,Seongdang Market,대구광역시,남구,대명4동,12834.3526,3551.0219,7,"609, 618, 650, 706, 805, 836, 남구1"
7051006800,612,성당시장건너,Seongdang Market,대구광역시,달서구,성당1동,12834.3344,3551.0199,8,"609, 618, 650, 706, 805, 836, 남구1-1, 서구1"
7051006900,1026,굿모닝병원앞,Goodmorning hospital,대구광역시,남구,대명3동,12834.4345,3551.197,7,"618, 650, 706, 805, 808, 836, 달서4"
7051007000,5213,남산주유소앞,Namsan Gas Station,대구광역시,남구,대명4동,12834.5546,3551.0644,2,"609, 남구1"
7051007100,5214,남산주유소건너,Namsan Gas Station,대구광역시,남구,대명3동,12834.5888,3551.0621,3,"609, 808, 남구1-1"
7051007200,5215,계명대대명캠퍼스후문건너,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,12834.7908,3551.0988,2,"609, 남구1"
7051007300,5216,계명대학교대명캠퍼스후문앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,12834.8226,3551.1128,3,"609, 808, 남구1-1"
7051007400,5073,심인고등학교앞,Simin High School,대구광역시,남구,대명3동,12834.8865,3551.0482,5,"300, 306, 518, 651, 달서4"
7051007500,5072,심인고등학교건너,Simin High School,대구광역시,남구,대명3동,12834.8703,3551.0108,5,"300, 306, 518, 651, 달서4-1"
7051007600,630,영남이공대학건너,Yeungnam College of Science and Technology,대구광역시,남구,대명1동,12834.8017,3550.7765,5,"300, 306, 518, 651, 달서4"
7051007700,605,영남이공대학앞,Yeungnam College of Science and Technology,대구광역시,남구,대명5동,12834.8039,3550.7853,5,"300, 306, 518, 651, 달서4-1"
7051007800,631,대구교통방송건너,Daegu TBN,대구광역시,남구,대명1동,12834.7963,3550.5066,5,"300, 306, 518, 651, 달서4"
7051007900,606,대구교통방송앞,Daegu TBN,대구광역시,남구,대명5동,12834.8001,3550.5249,5,"300, 306, 518, 651, 달서4-1"
7051008000,2181,현충로역(3번출구),Hyeonchungno Station,대구광역시,남구,대명9동,12834.9398,3550.4767,6,"410, 503, 564, 649, 남구1-1, 순환3-1"
7051008100,2173,현충로역(4번출구),Hyeonchungno Station,대구광역시,남구,대명5동,12834.9065,3550.4742,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051008200,9137,영대병원역(3번출구),Yeungnam University hospital Station,대구광역시,남구,대명5동,12835.34781,3550.687418,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051008300,649,대명5동행정복지센터앞,Daemyung 5-dong Community Service Center,대구광역시,남구,대명5동,12835.22732,3550.61541,3,"410, 503, 649"
7051008400,5192,영대병원역,Yeungnam University hospital Station,대구광역시,남구,대명5동,12835.3026,3550.6551,3,"564, 남구1-1, 순환3-1"
7051008500,2204,대구고등학교건너,Daegu High School,대구광역시,남구,대명5동,12835.4319,3550.8013,5,"349, 405, 410, 503, 649"
7051008600,2223,대구고등학교앞,Daegu High School,대구광역시,남구,대명5동,12835.4237,3550.838,5,"349, 405, 410-1, 503, 649"
7051008700,2206,대구교육대건너,National University of Education,대구광역시,남구,대명2동,12835.4448,3551.0384,5,"349, 405, 410, 503, 649"
7051008800,2222,대구교육대앞,National University of Education,대구광역시,남구,대명2동,12835.428,3551.1038,5,"349, 405, 410-1, 503, 649"
7051008900,9209,신신정비공장1,Sin Sin Car Service,대구광역시,남구,봉덕3동,12835.65686,3550.700195,5,"349, 405, 564, 남구1-1, 순환3-1"
7051009000,1900,신신정비공장2,Sin Sin Car Service,대구광역시,남구,봉덕1동,12835.7063,3550.7052,5,"349, 405, 564, 남구1, 순환3"
7051009100,2182,남구청건너2,Nam District Office2,대구광역시,남구,봉덕3동,12835.83977,3550.68848,5,"349, 405, 564, 남구1-1, 순환3-1"
7051009200,3140,대덕맨션앞,Daedeok Mansion,대구광역시,남구,봉덕3동,12835.793,3550.0413,1,730
7051009300,1631,앞산보성타운건너,Apsan Boseong Town,대구광역시,남구,봉덕3동,12835.7011,3550.1475,1,730
7051009400,1632,봉덕변전소앞,KEPCO Bongdeok Substation,대구광역시,남구,봉덕3동,12835.7093,3550.2433,1,730
7051009500,2073,대백프라자건너,Debec Plaza,대구광역시,남구,이천동,12836.3434,3551.2972,5,"234, 304, 323-1, 509, 순환2-1"
7051009600,420,대봉네거리1,Daebong Junction,대구광역시,남구,이천동,12836.1557,3551.2639,3,"240, 401, 730"
7051009700,433,대봉네거리2,Daebong Junction,대구광역시,남구,이천동,12836.1651,3551.2427,3,"240, 401, 730"
7051009800,2167,대봉교회,Daebong Church,대구광역시,남구,이천동,12836.0491,3551.318,5,"234, 304, 509, 730, 순환2-1"
7051009900,1032,상수도중남부사업소건너,Waterworks HQ Jung-Nambu Branch,대구광역시,남구,이천동,12835.913,3551.1736,2,"204, 남구1-1"
7051010000,1034,상수도중남부사업소앞,Waterworks HQ Jung-Nambu Branch,대구광역시,남구,이천동,12835.9067,3551.2322,2,"204, 남구1"
7051010100,5199,미8군후문앞,EUSA,대구광역시,남구,이천동,12835.9147,3551.0857,2,"204, 남구1-1"
7051010200,1011,미8군후문건너,EUSA,대구광역시,남구,이천동,12835.9117,3551.0845,2,"204, 남구1"
7051010400,423,이천새마을금고건너,Icheon Community Credit Cooperative,대구광역시,남구,이천동,12836.2558,3550.8138,3,"240, 401, 730"
7051010500,422,이천치안센터건너,Icheon Police Operations Center,대구광역시,남구,이천동,12836.2402,3550.8861,3,"240, 401, 730"
7051010600,431,대구중학교앞,Daegu Middle School,대구광역시,남구,이천동,12836.2095,3551.0443,3,"240, 401, 730"
7051010700,421,대구중학교건너,Daegu Middle School,대구광역시,남구,이천동,12836.1975,3551.0619,3,"240, 401, 730"
7051010800,2956,봉덕시장앞2,Bongdeok Market,대구광역시,남구,봉덕1동,12836.2376,3550.7096,3,"240, 401, 730"
7051010900,429,봉덕시장건너3,Bongdeok Market,대구광역시,남구,봉덕1동,12836.2408,3550.7353,3,"240, 401, 730"
7051011000,428,봉덕교회앞,Bongdeok Church,대구광역시,남구,봉덕2동,12836.2445,3550.6025,4,"401, 405, 564, 730"
7051011100,426,봉덕교회건너,Bongdeok Church,대구광역시,남구,봉덕2동,12836.2529,3550.5467,4,"401, 405, 564, 730"
7051011200,607,봉덕2동새마을금고앞,Bongdeok 2-dong Community Credit Cooperative,대구광역시,남구,봉덕2동,12836.2306,3550.5103,1,730
7051011300,609,봉덕2동새마을금고건너,Bongdeok 2-dong Community Credit Cooperative,대구광역시,남구,봉덕2동,12836.1992,3550.5161,1,730
7051011400,604,명보약국앞,Myeongbo Pharmacy,대구광역시,남구,봉덕3동,12836.0174,3550.5363,1,730
7051011500,2176,남구청네거리1,Nam District Office (4) Junction,대구광역시,남구,봉덕1동,12835.9876,3550.6893,2,"405, 564"
7051011600,442,봉덕시장건너2,Bongdeok Market,대구광역시,남구,봉덕2동,12836.1195,3550.6738,1,240
7051011700,2172,봉덕시장앞1,Bongdeok Market,대구광역시,남구,봉덕1동,12836.1588,3550.677,3,"240, 405, 564"
7051011800,9138,팔레스호텔앞1,Palace Hotel,대구광역시,남구,봉덕3동,12835.8739,3550.500912,4,"349, 730, 남구1, 남구1-1"
7051011900,390,경일여자중학교앞,Kyungil Girls' Middle School,대구광역시,남구,봉덕3동,12835.9386,3550.2453,5,"240, 349, 730, 남구1, 남구1-1"
7051012000,2393,경일여자중학교건너,Kyungil Girls' Middle School,대구광역시,남구,봉덕3동,12835.93917,3550.261232,4,"240, 349, 남구1, 남구1-1"
7051012100,391,미리내맨션앞,Mirinae Mansion,대구광역시,남구,봉덕3동,12836.0138,3550.0944,5,"240, 349, 730, 남구1, 남구1-1"
7051012200,2633,미리내맨션건너,Mirinae Mansion,대구광역시,남구,봉덕3동,12836.0246,3550.1018,4,"240, 349, 남구1, 남구1-1"
7051012300,5198,고산골입구,Gosangol,대구광역시,남구,봉덕2동,12836.1466,3550.0523,3,"240, 349, 410-1"
7051012400,2255,효성타운앞,Hyosung Town,대구광역시,남구,봉덕2동,12836.2153,3550.0762,3,"240, 349, 410"
7051012500,5083,중동교1,Jungdonggyo (Bridge),대구광역시,남구,봉덕2동,12836.2989,3550.4705,4,"401, 405, 564, 순환3-1"
7051012800,393,남구종합스포츠타운건너,Nam-gu Sports Complex,대구광역시,남구,봉덕3동,12835.87346,3549.96917,4,"410, 730, 남구1, 남구1-1"
7051012900,784,남구종합스포츠타운앞,Nam-gu Sports Complex,대구광역시,남구,봉덕3동,12835.86785,3549.955679,3,"410-1, 남구1, 남구1-1"
7051013000,3141,앞산공원관리사무소앞,Apsan Park Administrative Office,대구광역시,남구,대명9동,12835.3277,3549.7239,3,"410, 남구1, 남구1-1"
7051013200,437,봉덕변전소건너,KEPCO Bongdeok Substation,대구광역시,남구,봉덕3동,12835.709,3550.2808,1,730
7051013300,585,대덕초등학교,Daedeok Elementary School,대구광역시,남구,대명11동,12833.6367,3549.8433,1,달성2
7051013400,444,남부경찰서앞,Nambu Police Station,대구광역시,남구,대명5동,12835.1548,3550.5886,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051013500,754,현충삼거리2,Hyeonchung (3) Junction,대구광역시,남구,대명9동,12834.7789,3550.0506,3,"300, 600, 750"
7051013700,398,앞산공원관리사무소건너,Apsan Park Administrative Office,대구광역시,남구,대명9동,12835.3283,3549.7252,3,"410-1, 남구1, 남구1-1"
7051013800,2438,태성맨션앞,Taeseong Mansion,대구광역시,남구,봉덕3동,12835.72648,3550.383134,1,730
7051013900,1633,태성맨션건너,Taeseong Mansion,대구광역시,남구,봉덕3동,12835.7214,3550.3734,1,730
7051014200,780,골안골지하보도앞,gorangol Underpass,대구광역시,남구,대명6동,12834.2331,3549.8707,1,달서4-1
7051014300,2170,팔레스호텔건너,Palace Hotel,대구광역시,남구,봉덕3동,12835.8799,3550.4984,6,"240, 349, 730, 남구1, 남구1-1, 순환3"
7051014400,399,앞산공원,Apsan Park,대구광역시,남구,대명9동,12835.314,3549.8824,7,"300, 410, 410-1, 600, 750, 남구1, 남구1-1"
7051014500,779,앞산자락카페마실건너,Apsan Jarak Cafe Masil,대구광역시,남구,대명6동,12834.0166,3549.900083,2,"달서4, 달서4-1"
7051014600,441,팔레스호텔앞2,Palace Hotel,대구광역시,남구,봉덕3동,12835.8882,3550.589,2,"240, 순환3-1"
